seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
0,2752,train,none,1,"[-3.129772663116455, -2.801867723464966]","[-2.6874027252197266, -2.359497547149658]","[-2.6450326442718506, -2.3171277046203613]","[-0.4423699378967285, -0.4423701763153076]","[0.04237008094787598, 0.042369842529296875]",1,0,"[[-3.534040689468384, -3.3635177612304688], [-3.351518154144287, -3.2117464542388916], [-3.1538240909576416, -3.025714159011841], [-3.501905918121338, -3.3087430000305176], [-3.350827217102051, -3.1527509689331055], [-3.1195316314697266, -2.893712282180786], [-2.916224241256714, -2.7121310234069824], [-2.817396402359009, -2.5144906044006348]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,3,"[-3.6061410903930664, -3.4350037574768066]","[-2.3906188011169434, -2.2194809913635254]","[-2.236241340637207, -2.065103769302368]","[-1.215522289276123, -1.2155227661132812]","[0.15437746047973633, 0.15437722206115723]",1,0,"[[-3.534040689468384, -3.3635177612304688], [-3.351518154144287, -3.2117464542388916], [-3.1538240909576416, -3.025714159011841], [-3.501905918121338, -3.3087430000305176], [-3.350827217102051, -3.1527509689331055], [-3.1195316314697266, -2.893712282180786], [-2.916224241256714, -2.7121310234069824], [-2.817396402359009, -2.5144906044006348]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,5,"[-3.1873884201049805, -3.1495347023010254]","[-2.098053216934204, -2.06019926071167]","[-2.8626444339752197, -2.8247907161712646]","[-1.0893352031707764, -1.0893354415893555]","[-0.7645912170410156, -0.7645914554595947]",0,0,"[[-3.534040689468384, -3.3635177612304688], [-3.351518154144287, -3.2117464542388916], [-3.1538240909576416, -3.025714159011841], [-3.501905918121338, -3.3087430000305176], [-3.350827217102051, -3.1527509689331055], [-3.1195316314697266, -2.893712282180786], [-2.916224241256714, -2.7121310234069824], [-2.817396402359009, -2.5144906044006348]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2769,train,none,1,"[-3.0408236980438232, -2.7668356895446777]","[-2.594156265258789, -2.3201682567596436]","[-2.5474886894226074, -2.273500680923462]","[-0.4466674327850342, -0.4466674327850342]","[0.04666757583618164, 0.04666757583618164]",1,0,"[[-1.7029247283935547, -1.4073524475097656], [-1.4598000049591064, -1.2236757278442383], [-1.962813138961792, -1.722110629081726], [-2.3470871448516846, -2.0554745197296143], [-2.7144017219543457, -2.4376981258392334], [-2.5347976684570312, -2.2500789165496826], [-2.355203151702881, -2.1062889099121094], [-2.7192420959472656, -2.4730911254882812]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,3,"[-3.531595468521118, -3.4091179370880127]","[-2.3064639568328857, -2.183986186981201]","[-2.1383819580078125, -2.015904664993286]","[-1.2251315116882324, -1.2251317501068115]","[0.16808199882507324, 0.16808152198791504]",1,0,"[[-1.7029247283935547, -1.4073524475097656], [-1.4598000049591064, -1.2236757278442383], [-1.962813138961792, -1.722110629081726], [-2.3470871448516846, -2.0554745197296143], [-2.7144017219543457, -2.4376981258392334], [-2.5347976684570312, -2.2500789165496826], [-2.355203151702881, -2.1062889099121094], [-2.7192420959472656, -2.4730911254882812]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,5,"[-3.115935802459717, -3.121997833251953]","[-2.022103786468506, -2.028165340423584]","[-2.7840816974639893, -2.7901437282562256]","[-1.093832015991211, -1.0938324928283691]","[-0.7619779109954834, -0.7619783878326416]",0,0,"[[-1.7029247283935547, -1.4073524475097656], [-1.4598000049591064, -1.2236757278442383], [-1.962813138961792, -1.722110629081726], [-2.3470871448516846, -2.0554745197296143], [-2.7144017219543457, -2.4376981258392334], [-2.5347976684570312, -2.2500789165496826], [-2.355203151702881, -2.1062889099121094], [-2.7192420959472656, -2.4730911254882812]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,442,train,none,1,"[-1.7019407749176025, -1.7239470481872559]","[-1.799249529838562, -1.8212558031082153]","[-2.296558141708374, -2.3185644149780273]","[0.09730875492095947, 0.09730875492095947]","[-0.497308611869812, -0.497308611869812]",-1,1,"[[-2.458277463912964, -2.5790607929229736], [-2.829512596130371, -2.914327621459961], [-2.6929056644439697, -2.7771055698394775], [-2.5666067600250244, -2.5909225940704346], [-2.3816959857940674, -2.4250924587249756], [-2.2634520530700684, -2.298811197280884], [-2.025360345840454, -2.1162168979644775], [-1.8824982643127441, -1.9479202032089233]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,3,"[-1.2537457942962646, -1.3984031677246094]","[-1.5890604257583618, -1.7337177991867065]","[-2.9227969646453857, -3.0674543380737305]","[0.33531463146209717, 0.33531463146209717]","[-1.333736538887024, -1.333736538887024]",-1,1,"[[-2.458277463912964, -2.5790607929229736], [-2.829512596130371, -2.914327621459961], [-2.6929056644439697, -2.7771055698394775], [-2.5666067600250244, -2.5909225940704346], [-2.3816959857940674, -2.4250924587249756], [-2.2634520530700684, -2.298811197280884], [-2.025360345840454, -2.1162168979644775], [-1.8824982643127441, -1.9479202032089233]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,5,"[-2.108898639678955, -2.3560495376586914]","[-1.3746470212936401, -1.621798038482666]","[-2.522536277770996, -2.7696874141693115]","[-0.7342516183853149, -0.7342514991760254]","[-1.147889256477356, -1.1478893756866455]",0,1,"[[-2.458277463912964, -2.5790607929229736], [-2.829512596130371, -2.914327621459961], [-2.6929056644439697, -2.7771055698394775], [-2.5666067600250244, -2.5909225940704346], [-2.3816959857940674, -2.4250924587249756], [-2.2634520530700684, -2.298811197280884], [-2.025360345840454, -2.1162168979644775], [-1.8824982643127441, -1.9479202032089233]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,2095,train,none,1,"[-3.5738518238067627, -3.5650672912597656]","[-3.5652499198913574, -3.5564653873443604]","[-3.9566478729248047, -3.9478635787963867]","[-0.008601903915405273, -0.008601903915405273]","[-0.39139795303344727, -0.39139819145202637]",0,1,"[[-3.6438589096069336, -3.454272747039795], [-3.8565452098846436, -3.6866540908813477], [-3.720808506011963, -3.5493149757385254], [-3.8952932357788086, -3.7424983978271484], [-4.0106658935546875, -3.9571168422698975], [-3.7816355228424072, -3.765986204147339], [-4.062771320343018, -3.9718337059020996], [-3.741446018218994, -3.774456739425659]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
