seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
0,2752,train,none,1,"[-3.217473030090332, -2.704314947128296]","[-2.775634288787842, -2.2624759674072266]","[-2.733795404434204, -2.220637321472168]","[-0.44183874130249023, -0.44183897972106934]","[0.041838884353637695, 0.041838645935058594]",1,0,"[[-3.5749783515930176, -3.3214478492736816], [-3.390228271484375, -3.180504322052002], [-3.1758313179016113, -2.9844610691070557], [-3.5776169300079346, -3.2829957008361816], [-3.4440910816192627, -3.1425232887268066], [-3.1794016361236572, -2.8333611488342285], [-2.9555695056915283, -2.644878387451172], [-2.9053232669830322, -2.43217134475708]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,3,"[-3.6625478267669678, -3.4035589694976807]","[-2.447986602783203, -2.188997268676758]","[-2.2951560020446777, -2.0361669063568115]","[-1.2145612239837646, -1.2145617008209229]","[0.1528306007385254, 0.1528303623199463]",1,0,"[[-3.5749783515930176, -3.3214478492736816], [-3.390228271484375, -3.180504322052002], [-3.1758313179016113, -2.9844610691070557], [-3.5776169300079346, -3.2829957008361816], [-3.4440910816192627, -3.1425232887268066], [-3.1794016361236572, -2.8333611488342285], [-2.9555695056915283, -2.644878387451172], [-2.9053232669830322, -2.43217134475708]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2752,train,none,5,"[-3.2066490650177, -3.1531283855438232]","[-2.116506338119507, -2.0629849433898926]","[-2.879517078399658, -2.825995683670044]","[-1.0901427268981934, -1.0901434421539307]","[-0.7630107402801514, -0.7630107402801514]",0,0,"[[-3.5749783515930176, -3.3214478492736816], [-3.390228271484375, -3.180504322052002], [-3.1758313179016113, -2.9844610691070557], [-3.5776169300079346, -3.2829957008361816], [-3.4440910816192627, -3.1425232887268066], [-3.1794016361236572, -2.8333611488342285], [-2.9555695056915283, -2.644878387451172], [-2.9053232669830322, -2.43217134475708]]","[-1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
0,2769,train,none,1,"[-3.082021951675415, -2.6372690200805664]","[-2.633089303970337, -2.1883366107940674]","[-2.5841567516326904, -2.139404058456421]","[-0.4489326477050781, -0.448932409286499]","[0.048932552337646484, 0.048932552337646484]",1,0,"[[-1.7322914600372314, -1.2506119012832642], [-1.4626384973526, -1.0840846300125122], [-1.9873840808868408, -1.602609634399414], [-2.3645923137664795, -1.891194224357605], [-2.739746332168579, -2.2938055992126465], [-2.5567173957824707, -2.0978877544403076], [-2.3786911964416504, -1.9802052974700928], [-2.7552759647369385, -2.3541297912597656]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,3,"[-3.549750566482544, -3.3524973392486572]","[-2.3193397521972656, -2.122086524963379]","[-2.1438591480255127, -1.946606159210205]","[-1.2304108142852783, -1.2304108142852783]","[0.17548060417175293, 0.17548036575317383]",1,0,"[[-1.7322914600372314, -1.2506119012832642], [-1.4626384973526, -1.0840846300125122], [-1.9873840808868408, -1.602609634399414], [-2.3645923137664795, -1.891194224357605], [-2.739746332168579, -2.2938055992126465], [-2.5567173957824707, -2.0978877544403076], [-2.3786911964416504, -1.9802052974700928], [-2.7552759647369385, -2.3541297912597656]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,2769,train,none,5,"[-3.098039150238037, -3.1002345085144043]","[-2.0004026889801025, -2.0025978088378906]","[-2.7589824199676514, -2.7611780166625977]","[-1.0976364612579346, -1.0976366996765137]","[-0.7585797309875488, -0.758580207824707]",0,0,"[[-1.7322914600372314, -1.2506119012832642], [-1.4626384973526, -1.0840846300125122], [-1.9873840808868408, -1.602609634399414], [-2.3645923137664795, -1.891194224357605], [-2.739746332168579, -2.2938055992126465], [-2.5567173957824707, -2.0978877544403076], [-2.3786911964416504, -1.9802052974700928], [-2.7552759647369385, -2.3541297912597656]]","[1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
0,442,train,none,1,"[-1.699447512626648, -1.7408738136291504]","[-1.7954927682876587, -1.8369190692901611]","[-2.2915380001068115, -2.3329644203186035]","[0.09604525566101074, 0.09604525566101074]","[-0.49604523181915283, -0.4960453510284424]",-1,1,"[[-2.428589105606079, -2.622150421142578], [-2.8313956260681152, -2.9636714458465576], [-2.694343328475952, -2.8325462341308594], [-2.5733859539031982, -2.614164113998413], [-2.382453441619873, -2.4539566040039062], [-2.2673213481903076, -2.321845531463623], [-1.9932968616485596, -2.139881134033203], [-1.8735953569412231, -1.9842166900634766]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,3,"[-1.2320629358291626, -1.4735864400863647]","[-1.5634087324142456, -1.8049322366714478]","[-2.8948073387145996, -3.136331081390381]","[0.331345796585083, 0.331345796585083]","[-1.331398606300354, -1.331398844718933]",-1,1,"[[-2.428589105606079, -2.622150421142578], [-2.8313956260681152, -2.9636714458465576], [-2.694343328475952, -2.8325462341308594], [-2.5733859539031982, -2.614164113998413], [-2.382453441619873, -2.4539566040039062], [-2.2673213481903076, -2.321845531463623], [-1.9932968616485596, -2.139881134033203], [-1.8735953569412231, -1.9842166900634766]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,442,train,none,5,"[-2.04878306388855, -2.446974515914917]","[-1.3181747198104858, -1.7163660526275635]","[-2.4669549465179443, -2.8651466369628906]","[-0.730608344078064, -0.7306084632873535]","[-1.1487802267074585, -1.1487805843353271]",0,1,"[[-2.428589105606079, -2.622150421142578], [-2.8313956260681152, -2.9636714458465576], [-2.694343328475952, -2.8325462341308594], [-2.5733859539031982, -2.614164113998413], [-2.382453441619873, -2.4539566040039062], [-2.2673213481903076, -2.321845531463623], [-1.9932968616485596, -2.139881134033203], [-1.8735953569412231, -1.9842166900634766]]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0]"
0,2095,train,none,1,"[-3.567605495452881, -3.529667615890503]","[-3.559521436691284, -3.5215835571289062]","[-3.95143723487854, -3.913499355316162]","[-0.00808405876159668, -0.00808405876159668]","[-0.39191579818725586, -0.39191579818725586]",0,1,"[[-3.7393836975097656, -3.415184497833252], [-3.9435079097747803, -3.648308277130127], [-3.8384344577789307, -3.5356597900390625], [-3.98527193069458, -3.7100765705108643], [-4.047359943389893, -3.93351411819458], [-3.7990193367004395, -3.7456517219543457], [-4.124408721923828, -3.955324172973633], [-3.7304675579071045, -3.757547616958618]]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]"
